Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 108: ;180;4.3;4.3;OK
delegado 109: ;203;8.5;8.5;OK
delegado 110: ;223;8.5;8.5;OK
delegado 111: ;154;8.5;2.4;OK
delegado 112: ;161;2.4;2.4;OK
delegado 113: ;203;2.4;2.4;OK
delegado 114: ;220;2.4;2.3;OK
delegado 115: ;254;2.3;2.3;OK
delegado 116: ;258;2.3;3.2;OK
delegado 117: ;231;3.2;3.2;OK
delegado 118: ;199;3.2;3.2;OK
delegado 119: ;221;3.8;3.8;OK
delegado 120: ;184;3.8;3.8;OK
delegado 121: ;195;3.8;4.0;OK
delegado 122: ;230;4.0;4.0;OK
delegado 123: ;246;4.0;2.9;OK
delegado 124: ;222;2.9;2.9;OK
delegado 125: ;259;2.9;2.8;OK
delegado 126: ;214;2.8;2.8;OK
delegado 127: ;830;2.8;3.1;OK
delegado 128: ;230;3.1;3.1;OK
delegado 129: ;207;3.1;3.8;OK
delegado 130: ;216;3.8;3.8;OK
delegado 131: ;259;3.8;2.1;OK
delegado 132: ;217;2.1;2.1;OK
delegado 133: ;223;2.1;3.0;OK
delegado 134: ;207;3.0;3.0;OK
delegado 135: ;207;3.0;3.0;OK
delegado 136: ;164;3.0;4.6;OK
delegado 137: ;182;4.6;4.6;OK
delegado 138: ;179;4.6;4.6;OK
delegado 139: ;180;4.6;3.0;OK
delegado 140: ;303;3.0;3.0;OK
delegado 141: ;189;3.0;2.8;OK
delegado 142: ;268;2.8;2.8;OK
delegado 143: ;217;2.8;1.4;OK
delegado 144: ;167;1.4;1.4;OK
delegado 145: ;219;1.4;1.4;OK
delegado 146: ;177;1.4;3.5;OK
delegado 147: ;204;3.5;3.5;OK
delegado 148: ;268;3.5;2.2;OK
delegado 149: ;166;2.2;2.2;OK
delegado 150: ;221;2.2;2.2;OK
delegado 151: ;188;2.2;4.7;OK
delegado 152: ;175;4.7;4.7;OK
delegado 153: ;198;4.7;4.7;OK
delegado 154: ;228;4.7;2.8;OK
delegado 155: ;274;2.8;2.8;OK
delegado 156: ;277;2.8;1.9;OK
delegado 157: ;206;1.9;1.9;OK
delegado 158: ;177;1.9;1.9;OK
delegado 159: ;282;1.9;2.5;OK
delegado 160: ;195;2.5;2.5;OK
delegado 161: ;250;2.5;3.0;OK
delegado 162: ;235;3.0;3.0;OK
delegado 163: ;201;3.0;3.0;OK
delegado 164: ;193;3.0;3.0;OK
delegado 165: ;360;3.0;3.2;OK
delegado 166: ;239;3.2;3.2;OK
delegado 167: ;246;3.2;2.8;OK
delegado 168: ;227;2.8;2.8;OK
delegado 169: ;242;2.8;2.9;OK
delegado 170: ;164;2.9;2.9;OK
delegado 171: ;280;2.9;3.1;OK
delegado 172: ;239;3.1;3.1;OK
delegado 173: ;211;3.1;3.0;OK
delegado 174: ;164;3.0;3.0;OK
delegado 175: ;179;3.0;3.0;OK
delegado 176: ;223;3.0;4.0;OK
delegado 177: ;199;4.0;4.0;OK
delegado 178: ;196;4.0;4.0;OK
delegado 179: ;173;4.0;3.5;OK
delegado 180: ;176;3.5;3.5;OK
delegado 181: ;211;3.5;3.5;OK
delegado 182: ;168;3.5;2.4;OK
delegado 183: ;259;2.4;2.4;OK
delegado 184: ;202;2.4;1.5;OK
delegado 185: ;195;1.5;1.5;OK
delegado 186: ;181;1.5;1.5;OK
delegado 187: ;211;1.5;4.0;OK
delegado 188: ;236;4.0;4.0;OK
delegado 189: ;226;4.0;3.7;OK
delegado 190: ;232;3.7;3.7;OK
delegado 191: ;527;3.7;1.9;OK
delegado 192: ;209;1.9;1.9;OK
delegado 193: ;212;1.9;1.9;OK
delegado 194: ;165;3.8;3.8;OK
delegado 195: ;198;3.8;3.8;OK
delegado 196: ;191;3.8;3.1;OK
delegado 197: ;124;3.1;3.1;OK
delegado 198: ;200;3.1;3.1;OK
delegado 199: ;193;3.1;3.9;OK
Server;Tiempo Total Trx(milis);Porcentaje Carga CPU Inicio;Porcentaje Carga CPU Final;Estado de Finalizacion Trx 
delegado 0: ;2039;0.0;32.7;OK
delegado 1: ;284;32.7;32.7;OK
delegado 2: ;261;32.7;2.5;OK
delegado 3: ;166;2.5;2.5;OK
delegado 4: ;229;2.5;2.5;OK
delegado 5: ;185;2.5;5.8;OK
delegado 6: ;233;5.8;5.8;OK
delegado 7: ;152;5.8;5.8;OK
delegado 8: ;259;5.8;3.7;OK
delegado 9: ;219;3.7;3.7;OK
delegado 10: ;206;3.7;3.7;OK
delegado 11: ;183;7.6;7.6;OK
delegado 12: ;194;7.6;7.6;OK
delegado 13: ;151;7.6;4.5;OK
delegado 14: ;228;4.5;4.5;OK
delegado 15: ;749;4.5;2.2;OK
delegado 16: ;939;2.2;1.6;OK
delegado 17: ;923;1.6;1.2;OK
delegado 18: ;258;1.2;1.2;OK
delegado 19: ;197;1.2;3.8;OK
delegado 20: ;190;3.8;3.8;OK
delegado 21: ;179;3.8;3.8;OK
delegado 22: ;294;3.8;3.6;OK
delegado 23: ;258;3.6;3.6;OK
delegado 24: ;181;3.6;4.6;OK
delegado 25: ;197;4.6;4.6;OK
delegado 26: ;195;4.6;4.6;OK
delegado 27: ;175;4.6;9.9;OK
delegado 28: ;175;9.9;9.9;OK
delegado 29: ;177;9.9;9.9;OK
delegado 30: ;209;9.9;2.4;OK
delegado 31: ;159;2.4;2.4;OK
delegado 32: ;208;2.4;2.4;OK
delegado 33: ;172;2.4;4.3;OK
delegado 34: ;265;4.3;4.3;OK
delegado 35: ;155;4.3;4.3;OK
delegado 36: ;201;4.3;3.3;OK
delegado 37: ;296;3.3;3.3;OK
delegado 38: ;164;3.3;3.0;OK
delegado 39: ;173;3.0;3.0;OK
delegado 40: ;234;3.0;3.0;OK
delegado 41: ;237;3.0;3.1;OK
delegado 42: ;185;3.1;3.1;OK
delegado 43: ;221;3.1;3.1;OK
delegado 44: ;151;3.1;3.0;OK
delegado 45: ;222;3.0;3.0;OK
delegado 46: ;249;3.0;4.4;OK
delegado 47: ;226;4.4;4.4;OK
delegado 48: ;163;4.4;4.4;OK
delegado 49: ;237;4.4;6.9;OK
delegado 50: ;247;6.9;6.9;OK
delegado 51: ;234;6.9;5.7;OK
delegado 52: ;145;5.7;5.7;OK
delegado 53: ;243;5.7;5.7;OK
delegado 54: ;197;5.7;4.6;OK
delegado 55: ;220;4.6;4.6;OK
delegado 56: ;169;4.6;4.6;OK
delegado 57: ;181;4.6;2.3;OK
delegado 58: ;187;2.3;2.3;OK
delegado 59: ;207;2.3;2.3;OK
delegado 60: ;166;2.3;3.5;OK
delegado 61: ;191;3.5;3.5;OK
delegado 62: ;164;3.5;3.5;OK
delegado 63: ;173;3.5;5.7;OK
delegado 64: ;191;5.7;5.7;OK
delegado 65: ;168;5.7;5.7;OK
delegado 66: ;216;5.7;4.7;OK
delegado 67: ;193;4.7;4.7;OK
delegado 68: ;208;4.7;4.7;OK
delegado 69: ;241;4.7;3.1;OK
delegado 70: ;190;3.1;3.1;OK
delegado 71: ;173;3.1;3.1;OK
delegado 72: ;263;3.1;2.7;OK
delegado 73: ;172;2.7;2.7;OK
delegado 74: ;164;2.7;2.7;OK
delegado 75: ;225;2.7;4.8;OK
delegado 76: ;158;4.8;4.8;OK
delegado 77: ;229;4.8;4.8;OK
delegado 78: ;239;4.8;3.2;OK
delegado 79: ;168;3.2;3.2;OK
delegado 80: ;177;3.2;3.2;OK
delegado 81: ;291;3.2;3.2;OK
delegado 82: ;236;3.2;3.2;OK
delegado 83: ;212;3.2;3.8;OK
delegado 84: ;247;3.8;3.8;OK
